,id,time,value
0,0,0,0.506309948683
1,0,1,0.820416730336
2,0,2,0.297698246639
3,0,3,0.756413343221
4,0,4,0.0576324087623
5,0,5,0.0368203445111
6,0,6,0.849077510668
7,0,7,0.337496428295
8,0,8,0.532265253832
9,0,9,0.435509908621
10,0,10,0.061060054585
11,0,11,0.587684961682
12,0,12,0.024317458401
13,0,13,0.252379605236
14,0,14,0.370299170745
15,0,15,0.103731517082
16,0,16,0.882592090964
17,0,17,0.272655477735
18,0,18,0.0156274530325
19,0,19,0.321722891636
20,0,20,0.377551326486
21,0,21,0.189432697679
22,0,22,0.472240613637
23,0,23,0.0123871630169
24,0,24,0.632310002768
25,0,25,0.148465890378
26,0,26,0.291560039418
27,0,27,0.838823609496
28,0,28,0.930870596222
29,0,29,0.280626230098
30,0,30,0.76335430514
31,0,31,0.133269087975
32,0,32,0.584240812903
33,0,33,0.504553029476
34,0,34,0.647611210158
35,0,35,0.876802844266
36,0,36,0.0369291869974
37,0,37,0.580158238477
38,0,38,0.00946445161683
39,0,39,0.067301480748
40,0,40,0.953845617346
41,0,41,0.328308376498
42,0,42,0.272925380442
43,0,43,0.692843081529
44,0,44,0.427394773141
45,0,45,0.298590314364
46,0,46,0.209344890922
47,0,47,0.144646545782
48,0,48,0.441126950994
49,0,49,0.0941833477785
50,0,50,0.0235556335961
51,0,51,0.641064612984
52,0,52,0.784365319492
53,0,53,0.532696770505
54,0,54,0.221044401849
55,0,55,0.133580375457
56,0,56,0.279632531177
57,0,57,0.649934463967
58,0,58,0.941326989056
59,0,59,0.218901412974
60,0,60,0.155684168576
61,0,61,0.591653426214
62,0,62,0.469763526097
63,0,63,0.608509437236
64,0,64,0.240911574303
65,0,65,0.724263498676
66,0,66,0.960675507282
67,0,67,0.207202351651
68,0,68,0.486300880872
69,0,69,0.502397744709
70,0,70,0.953192483792
71,0,71,0.605485985449
72,0,72,0.523143792763
73,0,73,0.852743962717
74,0,74,0.351373585813
75,0,75,0.604345173853
76,0,76,0.624570386887
77,0,77,0.037562512321
78,0,78,0.186235663525
79,0,79,0.202513168582
80,0,80,0.626088739183
81,0,81,0.360115988748
82,0,82,0.807942115915
83,0,83,0.945434459448
84,0,84,0.825032018175
85,0,85,0.7764641853
86,0,86,0.19207067611
87,0,87,0.931359554225
88,0,88,0.198931406764
89,0,89,0.118011824435
90,0,90,0.510590026971
91,0,91,0.635982223027
92,0,92,0.579170090173
93,0,93,0.623170155101
94,0,94,0.243869124376
95,0,95,0.141871189437
96,0,96,0.712684447218
97,0,97,0.986478731085
98,0,98,0.0609863392677
99,0,99,0.321778855084
100,1,0,0.999643333411
101,1,1,0.109543057826
102,1,2,0.280540527336
103,1,3,0.64158535649
104,1,4,0.791573194371
105,1,5,0.934840517199
106,1,6,0.314094062228
107,1,7,0.383914374171
108,1,8,0.0571272927774
109,1,9,0.160874047959
110,1,10,0.0884928394207
111,1,11,0.699898058699
112,1,12,0.472815565908
113,1,13,0.180206544854
114,1,14,0.518674745665
115,1,15,0.204715416965
116,1,16,0.275325326288
117,1,17,0.60371724949
118,1,18,0.0822381775963
119,1,19,0.628714843539
120,1,20,0.448977954918
121,1,21,0.648909136184
